blob-name;process-status;connection-dev-eui;diversen-id;azure-partition;azure-enqueue-time-utc;ttn-received-at;particulate-matter;temperature;humidity;bat-voltage;bat-current;bat-power;life-signal;solar-sys-enabled;solar-auto-enabled;solar-status;power-save-mode;software-release;report-detail;battery-level;measure-interval;uplink-rx0-rssi;ttn-dev-eui;ttn-device-id;ttn-received-at;gateway0-received-at;gateway0-gps-time;gateway0-id;gateway0-eui
iothub-divesen/2024/03/27/09/16/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:15:29;2024-03-27T09:15:29.078132394Z;1.721;23.778;29;3.993;-0.003;-11.979;False;True;True;True;False;1;0;210;10;-115;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:15:28.874659330Z;2024-03-27T09:15:28.870500655Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/16/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 09:15:39;2024-03-27T09:15:38.448852075Z;2.07;0;0;4.08;0.003;12.24;False;True;True;False;False;1;0;228;10;-117;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T09:15:38.245205499Z;2024-03-27T09:15:38.240197427Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/26/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:25:29;2024-03-27T09:25:28.942769613Z;1.767;24.194;29;3.992;-0.003;-11.975999999999999;False;True;True;True;False;1;0;210;10;-117;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:25:28.739773288Z;2024-03-27T09:25:28.734886350Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/36/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:35:29;2024-03-27T09:35:28.970236768Z;1.993;24.455;30;3.99;-0.003;-11.97;False;True;True;True;False;1;0;209;10;-107;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:35:28.764693051Z;2024-03-27T09:35:28.759944046Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/46/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:45:29;2024-03-27T09:45:29.000229672Z;1.769;24.733;30;3.989;-0.003;-11.966999999999999;False;True;True;True;False;1;0;209;10;-120;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:45:28.793535009Z;2024-03-27T09:45:28.788144722Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/46/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 09:45:38;2024-03-27T09:45:38.531591563Z;2.024;0;0;4.08;0.004;16.32;False;True;True;False;False;1;0;228;10;-121;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T09:45:38.328429010Z;2024-03-27T09:45:38.324226664Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/56/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 09:55:29;2024-03-27T09:55:29.036263762Z;2.363;25.104;29;3.988;-0.003;-11.964;False;True;True;True;False;1;0;209;10;-115;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T09:55:28.830102537Z;2024-03-27T09:55:28.825503292Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/09/56/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 09:55:39;2024-03-27T09:55:38.568704002Z;1.655;0;0;4.079;0.004;16.316;False;True;True;False;False;1;0;228;10;-119;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T09:55:38.365553104Z;2024-03-27T09:55:38.361177358Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/10/06/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 10:05:39;2024-03-27T10:05:38.631195135Z;2.958;0;0;4.079;0.003;12.236999999999998;False;True;True;False;False;1;0;228;10;-120;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T10:05:38.427697440Z;2024-03-27T10:05:38.423536959Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/10/16/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 10:15:29;2024-03-27T10:15:29.099016328Z;1.446;25.13;29;3.987;0;0;False;True;True;True;False;1;0;209;10;-117;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T10:15:28.891184902Z;2024-03-27T10:15:28.886874215Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/10/16/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 10:15:39;2024-03-27T10:15:38.640262796Z;1.981;0;0;4.079;0.003;12.236999999999998;False;True;True;False;False;1;0;228;10;-119;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T10:15:38.433714031Z;2024-03-27T10:15:38.429033495Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/10/26/02.json;Success;eui-2cf7f12050208270;4;20;03/27/2024 10:25:29;2024-03-27T10:25:29.131060966Z;2.145;25.143;29;3.986;-0.002;-7.972;False;True;True;True;False;1;0;208;10;-120;2CF7F12050208270;eui-2cf7f12050208270;2024-03-27T10:25:28.927530098Z;2024-03-27T10:25:28.923283456Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/10/26/03.json;Success;eui-2cf7f1205020607d;8;20;03/27/2024 10:25:39;2024-03-27T10:25:38.673576079Z;2.341;0;0;4.079;0.003;12.236999999999998;False;True;True;False;False;1;0;228;10;-120;2CF7F1205020607D;eui-2cf7f1205020607d;2024-03-27T10:25:38.466821294Z;2024-03-27T10:25:38.462750156Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/12/09/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:08:37;2024-03-27T12:08:36.620467616Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/11/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:10:52;2024-03-27T12:10:52.191757698Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/13/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:12:31;2024-03-27T12:12:30.623415756Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/13/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:12:42;2024-03-27T12:12:41.808127341Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/34/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:34:19;2024-03-27T12:34:19.026583479Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/47/03.json;Warning;eui-2cf7f12050208313;0;20;03/27/2024 12:47:01;2024-03-27T12:47:00.910284080Z;0;0;0;0;0;0;False;False;False;False;False;0;0;0;0;0;;;;;01/01/0001 00:00:00;;
iothub-divesen/2024/03/27/12/57/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 12:57:00;2024-03-27T12:56:59.488862483Z;0.848;25.795;27;3.976;0.007;27.832;False;True;True;True;False;1;0;206;10;-119;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T12:56:59.282629955Z;2024-03-27T12:56:59.278501794Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/13/07/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 13:07:00;2024-03-27T13:06:59.500946718Z;1.318;25.57;28;3.976;0.007;27.832;False;True;True;True;False;1;0;206;10;-107;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T13:06:59.297879605Z;2024-03-27T13:06:59.292642491Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/13/17/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 13:17:00;2024-03-27T13:16:59.697700971Z;1.27;25.387;28;3.976;0.007;27.832;False;True;True;True;False;1;0;206;10;-120;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T13:16:59.494156343Z;2024-03-27T13:16:59.489579127Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/13/37/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 13:37:00;2024-03-27T13:36:59.578129862Z;1.355;25.058;29;3.975;0.007;27.825;False;True;True;True;False;1;0;206;10;-120;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T13:36:59.371318689Z;2024-03-27T13:36:59.363646809Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/13/47/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 13:47:00;2024-03-27T13:46:59.613280536Z;1.278;24.918;29;3.974;0.007;27.818;False;True;True;True;False;1;0;206;10;-136;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T13:46:59.409678443Z;2024-03-27T13:46:59.408691338Z;03/27/2024 13:46:59;ac1f09fffe0464eb;AC1F09FFFE0464EB
iothub-divesen/2024/03/27/14/17/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 14:17:00;2024-03-27T14:16:59.669970835Z;1.169;24.567;30;3.973;0.007;27.811;False;True;True;True;False;1;0;206;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T14:16:59.465848853Z;2024-03-27T14:16:59.461128655Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/14/27/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 14:27:00;2024-03-27T14:26:59.748285067Z;1.317;24.482;30;3.973;0.007;27.811;False;True;True;True;False;1;0;206;10;-133;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T14:26:59.541618001Z;2024-03-27T14:26:59.540679984Z;03/27/2024 14:26:59;ac1f09fffe0464eb;AC1F09FFFE0464EB
iothub-divesen/2024/03/27/14/37/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 14:37:00;2024-03-27T14:36:59.707325530Z;1.534;24.374;31;3.973;0.007;27.811;False;True;True;True;False;1;0;205;10;-119;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T14:36:59.503261291Z;2024-03-27T14:36:59.499066942Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/14/47/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 14:47:00;2024-03-27T14:46:59.731353018Z;1.322;24.279;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-115;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T14:46:59.527405592Z;2024-03-27T14:46:59.523119832Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/14/57/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 14:57:00;2024-03-27T14:56:59.754733309Z;3.778;24.198;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-115;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T14:56:59.550312971Z;2024-03-27T14:56:59.546265108Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/07/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:07:00;2024-03-27T15:06:59.774775046Z;1.739;24.102;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-117;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:06:59.571468392Z;2024-03-27T15:06:59.567004413Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/17/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:17:00;2024-03-27T15:16:59.800789244Z;1.581;23.991;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-116;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:16:59.597036800Z;2024-03-27T15:16:59.592554967Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/27/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:27:00;2024-03-27T15:26:59.836283430Z;1.377;23.886;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-120;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:26:59.632472105Z;2024-03-27T15:26:59.626122208Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/37/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:37:00;2024-03-27T15:36:59.861943577Z;1.429;23.788;31;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-80;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:36:59.651423296Z;2024-03-27T15:36:59.647149275Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/47/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:47:00;2024-03-27T15:46:59.894258701Z;1.617;23.696;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:46:59.689125290Z;2024-03-27T15:46:59.684594684Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/15/57/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 15:57:00;2024-03-27T15:56:59.894706272Z;1.471;23.61;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-119;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T15:56:59.687777873Z;2024-03-27T15:56:59.682900460Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/07/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:07:00;2024-03-27T16:06:59.911553562Z;1.548;23.508;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-115;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:06:59.707459164Z;2024-03-27T16:06:59.703387066Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/17/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:17:00;2024-03-27T16:16:59.937193211Z;0.982;23.443;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:16:59.732473689Z;2024-03-27T16:16:59.726936315Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/27/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:27:00;2024-03-27T16:26:59.965751486Z;1.475;23.351;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-115;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:26:59.760606524Z;2024-03-27T16:26:59.756288305Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/37/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:37:00;2024-03-27T16:36:59.988556777Z;0.922;23.329;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:36:59.780708861Z;2024-03-27T16:36:59.776203982Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/47/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:47:00;2024-03-27T16:47:00.036032453Z;1.065;23.222;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-112;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:46:59.827381478Z;2024-03-27T16:46:59.823167231Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/16/57/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 16:57:00;2024-03-27T16:57:00.036151299Z;1.527;23.186;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-117;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T16:56:59.830290545Z;2024-03-27T16:56:59.824619864Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/17/17/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 17:17:00;2024-03-27T17:17:00.073758230Z;1.214;23.046;32;3.972;0.007;27.804;False;True;True;True;False;1;0;205;10;-119;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T17:16:59.868621404Z;2024-03-27T17:16:59.864631973Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/17/27/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 17:27:00;2024-03-27T17:27:00.117491722Z;1.484;23;32;3.971;0.007;27.797;False;True;True;True;False;1;0;205;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T17:26:59.913616864Z;2024-03-27T17:26:59.909570412Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/17/37/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 17:37:00;2024-03-27T17:37:00.129509427Z;1.561;22.946;32;3.971;0.007;27.797;False;True;True;True;False;1;0;205;10;-118;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T17:36:59.924792456Z;2024-03-27T17:36:59.916585295Z;01/01/0001 00:00:00;packetbroker;
iothub-divesen/2024/03/27/17/47/03.json;Success;eui-2cf7f12050208313;1;20;03/27/2024 17:47:00;2024-03-27T17:47:00.142717869Z;1.226;22.921;32;3.971;0.007;27.797;False;True;True;True;False;1;0;205;10;-109;2CF7F12050208313;eui-2cf7f12050208313;2024-03-27T17:46:59.936687937Z;2024-03-27T17:46:59.931329560Z;01/01/0001 00:00:00;packetbroker;
